Model,Category,Difficulty,Avg Length (tokens),Min Length,Max Length,Std Dev
tinyllama,general_qa,easy,11.0,11,11,0.0
tinyllama,general_qa,medium,347.0,347,347,0.0
tinyllama,general_qa,hard,296.0,296,296,0.0
tinyllama,summarization,easy,68.0,68,68,0.0
tinyllama,summarization,medium,113.0,113,113,0.0
tinyllama,summarization,hard,343.0,343,343,0.0
tinyllama,code_generation,easy,445.0,445,445,0.0
tinyllama,code_generation,medium,172.0,172,172,0.0
tinyllama,code_generation,hard,270.0,270,270,0.0
tinyllama,creative_writing,easy,842.0,842,842,0.0
tinyllama,creative_writing,medium,677.0,677,677,0.0
tinyllama,creative_writing,hard,584.0,584,584,0.0
mistral,general_qa,easy,6.0,6,6,0.0
mistral,general_qa,medium,251.0,251,251,0.0
mistral,general_qa,hard,211.0,211,211,0.0
mistral,summarization,easy,76.0,76,76,0.0
mistral,summarization,medium,156.0,156,156,0.0
mistral,summarization,hard,265.0,265,265,0.0
mistral,code_generation,easy,82.0,82,82,0.0
mistral,code_generation,medium,149.0,149,149,0.0
mistral,code_generation,hard,235.0,235,235,0.0
mistral,creative_writing,easy,395.0,395,395,0.0
mistral,creative_writing,medium,455.0,455,455,0.0
mistral,creative_writing,hard,493.0,493,493,0.0
llama3.1,general_qa,easy,6.0,6,6,0.0
llama3.1,general_qa,medium,451.0,451,451,0.0
llama3.1,general_qa,hard,311.0,311,311,0.0
llama3.1,summarization,easy,58.0,58,58,0.0
llama3.1,summarization,medium,106.0,106,106,0.0
llama3.1,summarization,hard,348.0,348,348,0.0
llama3.1,code_generation,easy,194.0,194,194,0.0
llama3.1,code_generation,medium,299.0,299,299,0.0
llama3.1,code_generation,hard,386.0,386,386,0.0
llama3.1,creative_writing,easy,379.0,379,379,0.0
llama3.1,creative_writing,medium,621.0,621,621,0.0
llama3.1,creative_writing,hard,571.0,571,571,0.0
